PLU_ID,Park,Class,Subtype,PLU Display Name,Units,Revenue,P/C,2024 Product
131674,SWF,Pass,Silver,SWF 15 Month Pass Voucher Adult,65,10920.0,168.0,1-Park Silver Pass
131747,SWF,Pass,Silver,APO/BGT/SWF 15 Month Pass Voucher Adult,27,6804.0,252.0,4-Park Silver Pass
142694,SWF,Pass,Platinum,Florida 15 Month Platinum Renewal Voucher Adult1,1,316.0,316.0,Platinum Pass
152500,SWF,MDT/MPT,Consumer Direct,APO/SWF LOS Day Resort - DCO Affiliate,-1,-39.0,39.0,Ignore
160634,SWF,Fun Card,Consumer Direct,SWF 2018 Fun Card Pass Voucher,68,6799.32,99.99,1-Park Fun Card
160954,SWF,Fun Card,Consumer Direct,BGT/SWF 2018 Fun Card Renewal Voucher,3,530.97,176.99,2-Park Fun Card
142648,SWF,Pass,Silver,BGT/SWF 15 Month Pass Renewal Voucher Adult,3,588.0,196.0,2-Park Silver Pass
154881,SWF,MDT/MPT,Consumer Direct,AIT/APO/BGT/SWF LOS U14 wParking AdvPurch Online,15,2549.85,169.98999999999998,LOS
106578,SWF,SDT,Consumer Direct,SWF Inet Adv Single Day Ticket Guest,36,3599.64,99.99,Intended Day SDT
142662,SWF,Pass,Silver,APO/SWF 15 Month Pass Renewal Voucher Adult,5,760.0,152.0,2-Park Silver Pass
142675,SWF,Pass,Silver,APO/BGT/SWF 15 Month Pass Renewal Voucher Adult,3,696.0,232.0,4-Park Silver Pass
158470,SWF,SDT,Consumer Direct,SWF SDT 1 Day Advance Purchase Ages 3+,725,57992.75,79.99,Intended Day SDT
160953,SWF,Fun Card,Consumer Direct,BGT/SWF 2018 Fun Card Voucher,24,4247.76,176.99,2-Park Fun Card
-1,SWF,MDT/MPT,Consumer Direct,Unknown,342,12915.16,37.76362573099415,Not Sure
131744,SWF,Pass,Silver,AIT/BGT/SWF 15 Month Pass Voucher Adult,4,1008.0,252.0,4-Park Silver Pass
132358,SWF,Pass,Platinum,FL Platinum 15 Month Voucher Sale Adult,3,1008.0,336.0,Platinum Pass
153825,SWF,SDT,Consumer Direct,SWF INT Flex Day Ticket + ADDD Ages 3+,90,9899.1,109.99,Intended Day SDT + ADD
131692,SWF,Pass,Silver,BGT/SWF 15 Month Pass Voucher Adult,44,9504.0,216.0,2-Park Silver Pass
131698,SWF,Pass,Silver,APO/SWF 15 Month Pass Voucher Adult,39,7488.0,192.0,2-Park Silver Pass
154876,SWF,MDT/MPT,Consumer Direct,AIT/APO/BGT/SWF 2 visit CYA AdvPurchase Online,200,23998.0,119.99,2-Park 2-Day Ticket
142616,SWF,Pass,Silver,SWF 15 Month Pass Renewal Voucher Adult,6,768.0,128.0,1-Park Silver Pass
142620,SWF,Pass,Silver,SWF 15 Month Pass Renewal Voucher Senior,2,240.0,120.0,1-Park Silver Pass
142662,SWF,Pass,Silver,APO/SWF 15 Month Pass Renewal Voucher Adult,5,760.0,152.0,2-Park Silver Pass
131674,SWF,Pass,Silver,SWF 15 Month Pass Voucher Adult,82,13776.0,168.0,1-Park Silver Pass
131747,SWF,Pass,Silver,APO/BGT/SWF 15 Month Pass Voucher Adult,30,7560.0,252.0,4-Park Silver Pass
